"ID","original_I","SOM_A_hori","X","Y","plan.curvature","profile.curvature","slope","temperature","precipitation","twi","dem"
1,101,20.289172,685347,3412890,-0.00148900004569441,0.000598000013269484,14.2707118988037,14.9899044036865,1463.96447753906,7.29099988937378,105
2,102,37.256162,678050,3401280,-0.00128399999812245,0.000577000027988106,5.85481214523315,15.2060270309448,1495.04858398438,13.956000328064,97
3,103,25.616758,706233,3396000,-0.00308099994435906,0.000750000006519258,11.8599624633789,15.0313997268677,1492.61157226562,11.6330003738403,145
4,104,20.530174,697324,3409330,0.00889100041240454,0.000497000000905246,11.1539669036865,13.7733592987061,1555.92785644531,9.88599967956543,257
5,105,40.618048,692092,3408480,0.00310599990189075,0.000846999988425523,12.818528175354,14.6299819946289,1503.71740722656,9.39700031280518,166
6,106,40.067701,724365,3437940,-0.0059639997780323,0.0011909999884665,6.43251991271973,15.3966646194458,1328.58862304688,14.0640001296997,31
7,107,24.76222,726468,3397780,0.00410499982535839,-0.00102600001264364,13.9338283538818,13.2629957199097,1536.43627929688,10.5109996795654,330
8,108,19.692434,705892,3414720,0.0161830000579357,4.99999987368938e-06,0.317400991916656,15.28590965271,1426.44018554688,18.1550006866455,47
9,109,89.119543,662371,3386290,-0.00124400004278868,0.00092299998505041,22.1437225341797,13.3588151931763,1682.79431152344,7.25500011444092,382
10,110,29.311729,717294,3398060,0.0203329995274544,0.00028000000747852,0.874611973762512,14.9741191864014,1450.77661132812,15.2969999313354,89
11,111,41.84569,689892.4155,3417858.32,0.0233149994164705,0.00103899999521673,6.25871419906616,14.5183486938477,1486.77270507812,11.1940002441406,162
12,112,66.527769,726513,3405850,-0.00105399999301881,0.000969999993685633,26.888126373291,13.8137464523315,1504.04760742188,6.14099979400635,475
13,113,23.843839,715577,3409890,0.0370600000023842,0.000418000010540709,1.53833699226379,15.2420377731323,1416.95336914062,14.1809997558594,67
14,114,42.655452,750151,3436790,0.0116229997947812,0.000330999988364056,12.7218208312988,14.3182039260864,1376.05200195312,7.26700019836426,250
15,115,48.657746,709014,3389170,-0.00480500003322959,-0.00111900002229959,23.4021320343018,14.268895149231,1536.04614257812,5.77099990844727,363
16,116,34.663197,665236,3385060,0.00138599995989352,-0.000280999985989183,8.82324409484863,13.3270587921143,1677.494140625,11.7250003814697,376
17,117,34.779404,727910,3411630,-0.0415409989655018,-0.00193999998737127,4.87531185150146,14.4878740310669,1458.67663574219,6.43400001525879,388
18,118,18.596589,678545,3408200,0.00932000018656254,1.99999999495049e-06,1.01630401611328,15.4385051727295,1460.255859375,9.76900005340576,61
19,119,5.062594,645928,3425820,-0.00840900000184774,-0.000721000018529594,2.06931900978088,15.6060438156128,1419.13269042969,7.35400009155273,36
20,120,35.229209,689832,3413310,-0.00121100002434105,0.00104600004851818,10.7140169143677,14.7995891571045,1481.85266113281,6.86999988555908,124
21,121,14.782879,676974,3453880,-0.0519310012459755,-0.000186999997822568,2.48355293273926,15.5268659591675,1328.10034179688,7.59700012207031,66
22,122,22.612615,690044,3409190,0.0282390005886555,0.000904000014998019,2.5300030708313,15.2502307891846,1467.76635742188,18.3449993133545,59
23,123,18.364178,660325,3436950,0.0390519984066486,0.000230000005103648,1.04756605625153,15.6597080230713,1379.68029785156,12.2250003814697,15
