"ID","original_I","SOM_A_hori","X","Y","plan.curvature","profile.curvature","slope","temperature","precipitation","twi","dem","stratum","RF","KED"
168,444,24.39304,677258,3432680,-0.006289,-1.8e-05,0.15122,15.6548,1376.77,10.937,18,6,15.8970490868037,18.4217973256036
169,445,11.388434,694958,3432490,-0.001032,0.000157,1.88357,15.5804,1369.65,10.818,19,6,16.1113006743782,16.6250341175695
170,446,12.681823,651659,3431780,-0.002497,-4.4e-05,0.679475,15.6378,1401.06,11.958,31,6,14.9659845541909,17.2785378299367
171,447,17.944305,668108,3426420,0,0,0,15.7024,1402.19,11.408,12,6,19.9102235633752,15.9964046853064
172,448,20.004307,674190,3423920,0,0,0,15.6742,1407.97,11.323,13,6,19.1520994487033,16.1248596825426
173,449,18.954806,728518,3416950,-0.008086,-8.5e-05,1.06909,15.3221,1374.56,8.866,65,6,15.1468556134231,19.4654004018843
174,450,12.946003,675606,3408380,-0.005279,2.2e-05,0.688058,15.4538,1458.96,14.114,55,6,15.7585708642778,19.9831337214423
175,451,16.238817,686868.722,3407023.06,-0.00476,-1.7e-05,1.17811,15.5561,1452.44,8.786,32,6,14.4903125445586,18.4156810380952
176,452,22.791641,683966,3445890,-0.003047,-2.6e-05,1.15214,15.6481,1334.73,10.095,9,7,16.1426714848745,15.5958194333313
177,454,18.936167,702413,3439970,-0.005125,0.000217,1.1418,15.562,1339.96,9.205,19,7,15.0862416117079,16.5669684083135
178,455,13.128949,729251,3439680,-0.004258,0.000492,9.55866,15.2332,1324.57,7.423,122,7,24.88607105516,22.4877702315983
179,456,14.087077,649231,3420850,-0.001642,8.4e-05,1.68819,15.6685,1430.8,8.993,30,7,15.4241559148916,18.008460782595
180,457,14.76566,662910,3426690,0.00778,0.000275,3.68615,15.3483,1432.1,7.498,82,7,22.0179657625868,21.2142879105361
181,458,17.379191,666940,3417790,0.003203,0.000279,1.44496,15.5646,1433.77,9.771,26,7,18.5316542405335,17.8955120535029
182,459,14.130307,645062,3416540,0.00268,0.000244,1.50752,15.6773,1444.22,9.226,38,7,18.8991731382427,18.7774223592906
183,460,23.569798,702384,3415840,0.117178,0.000572,3.10604,15.1988,1431.2,10.513,82,7,24.7202858462475,21.9369508327869
184,461,24.009571,656893,3403040,-0.014607,-8.8e-05,1.51691,14.938,1525.23,8.267,147,7,22.7047315330373,26.4454676782335
185,462,27.672859,711554,3409980,-0.001201,0.000209,3.38443,15.2425,1430.95,8.021,84,8,23.4177968889458,20.9211154550729
186,463,18.382557,721554,3409530,0.012585,0.001991,6.22058,14.2625,1465.14,12.827,190,8,30.4072786647673,26.9352220503982
187,464,31.617557,733718,3406990,0.004647,0.000675,2.21582,14.8497,1413.22,16.974,88,8,21.3185508016646,21.1895795009322
188,465,14.991634,711396,3395780,-0.002275,0.002946,9.25165,14.3292,1526.96,14.252,146,8,32.6971206276636,25.9039041246628
