"x","y","EMv1mt","EMv05mt"
60.69508333,41.53387667,41.7,112
60.69508333,41.53388944,42.9,113.2
60.69508554,41.5339022,42.9,113.2
60.6950983,41.53391496,41.7,112
60.6951,41.53392774,39.3,110.8
60.6951,41.53394052,40.5,112
60.69510329,41.53395329,39.3,110.8
60.69511605,41.53396605,39.3,110.8
60.69511667,41.53397882,39.3,110.8
60.69511667,41.5339916,38.1,110.8
60.69512104,41.53400437,35.7,109.6
60.69513333,41.53401714,36.9,108.4
60.69513333,41.5340299,38.1,109.6
60.69513333,41.53403333,35.7,108.4
60.69513877,41.53403877,35.7,108.4
60.69515,41.53405155,36.9,109.6
60.69515,41.53406431,35.7,108.4
60.69515,41.53407708,35.7,109.6
60.69515652,41.53408985,35.7,108.4
60.69516667,41.53410263,36.9,109.6
60.69516667,41.5341154,35.7,108.4
60.69516667,41.53412816,34.6,108.4
60.69516667,41.53414093,35.7,108.4
60.69517037,41.5341537,34.6,107.2
60.69518314,41.53416647,33.4,107.2
60.69518333,41.53417924,33.4,107.2
60.69518333,41.534192,35.7,108.4
60.69518811,41.53420478,34.6,108.4
60.6952,41.53421756,34.6,108.4
60.6952,41.53423032,34.6,107.2
60.6952,41.53424308,33.4,107.2
60.69520585,41.53425585,34.6,108.4
60.69521667,41.53426863,34.6,108.4
60.69521667,41.5342814,36.9,109.6
60.69521667,41.53429417,36.9,110.8
60.6952236,41.53430693,38.1,112
60.69523333,41.5343197,38.1,112
60.69523333,41.53433248,40.5,112
60.69523333,41.53434524,41.7,113.2
60.69524135,41.53435801,41.7,112
60.69525,41.53437078,42.9,113.2
60.69525,41.53438354,41.7,112
60.69525,41.53439632,41.7,112
60.6952591,41.5344091,39.3,109.6
60.69526667,41.53442186,38.1,110.8
60.69526667,41.53443461,35.7,108.4
60.69526667,41.53444739,34.6,107.2
60.69526667,41.53446017,32.2,107.2
60.69527294,41.53447294,31,106
60.69528333,41.53448571,31,106
60.69528333,41.53449846,31,104.8
60.69528333,41.53451124,31,106
60.69529069,41.53452402,28.6,106
60.6953,41.53453679,29.8,106
60.6953,41.53454956,29.8,106
60.6953,41.5345623,32.2,106
60.69530841,41.53457508,29.8,104.8
60.69531667,41.53458786,33.4,107.2
60.69531729,41.53460063,36.9,112
60.69533005,41.53461339,42.9,115.6
60.69533333,41.53462616,47.7,119.1
60.69533333,41.53463893,48.9,119.1
60.69533504,41.5346517,50,120.3
60.69534781,41.53466448,50,120.3
60.69535,41.53467724,50,120.3
60.69535,41.53469001,42.9,115.6
60.69535278,41.53470278,34.6,107.2
60.69536555,41.53471555,31,103.7
60.69536667,41.53472832,31,104.8
60.69536667,41.53474108,34.6,110.8
60.69537051,41.53475384,32.2,106
60.69538323,41.53476656,34.6,108.4
60.69538333,41.53477939,32.2,107.2
60.69538333,41.53479216,31,108.4
60.69538333,41.53480493,32.2,109.6
60.69538121,41.53481667,31,107.2
60.69535573,41.53481667,29.8,106
60.69534009,41.53481667,29.8,107.2
60.69532132,41.53481667,29.8,106
60.69529789,41.53481667,29.8,104.8
60.69528511,41.53481667,29.8,104.8
60.69526135,41.53482766,28.6,103.7
60.6952429,41.53483333,28.6,103.7
60.69522695,41.53483333,28.6,106
60.69520141,41.53483333,29.8,104.8
60.69518793,41.53483333,28.6,103.7
60.69517517,41.5348415,29.8,103.7
60.69516667,41.53484573,31,104.8
60.6951663,41.53483296,27.4,102.5
60.69515352,41.53482019,25,101.3
60.69515,41.53480742,22.6,98.9
60.69514465,41.53479465,22.6,98.9
60.69513333,41.53478189,22.6,100.1
60.69513333,41.53476911,21.4,100.1
60.69512301,41.53475634,23.8,101.3
60.69511667,41.53474357,26.2,102.5
60.69511667,41.5347308,29.8,106
60.69511667,41.53471805,31,106
60.69510527,41.53470527,31,107.2
60.6951,41.53469249,29.8,103.7
60.69509639,41.53467972,28.6,103.7
60.69508363,41.53466696,27.4,101.3
60.69508333,41.53465419,26.2,101.3
60.69508333,41.53464146,28.6,103.7
60.6950787,41.53463333,28.6,102.5
60.69506667,41.53463254,31,103.7
60.69506667,41.53461978,33.4,108.4
60.69505701,41.53460701,39.3,115.6
60.69505,41.53459424,44.1,118
60.69504813,41.53458146,45.3,118
60.69503537,41.5345687,47.7,118
60.69503333,41.53455593,47.7,119.1
60.69502649,41.53454316,47.7,120.3
60.69501667,41.53453039,46.5,120.3
60.69501667,41.53451761,46.5,119.1
60.69501667,41.53450484,41.7,115.6
60.69500875,41.53449208,39.3,112
60.695,41.53447931,38.1,112
60.69499987,41.53446654,34.6,107.2
60.6949871,41.53445377,31,104.8
60.69498333,41.53444101,27.4,102.5
60.69497823,41.53442823,27.4,103.7
60.69496667,41.53441546,27.4,103.7
60.69496667,41.5344027,28.6,103.7
60.69495659,41.53438992,29.8,103.7
60.69495,41.53437716,32.2,104.8
60.69495,41.53436439,32.2,106
60.69495,41.53435161,29.8,104.8
60.69493885,41.53433885,31,104.8
60.69493333,41.53432608,29.8,104.8
60.69492998,41.53431331,29.8,104.8
60.6949172,41.53430054,28.6,103.7
60.69491667,41.53428777,31,107.2
60.69491667,41.534275,31,106
60.69491224,41.53426224,29.8,103.7
60.6949,41.53424946,29.8,103.7
60.6949,41.53423669,29.8,103.7
60.69489058,41.53422392,28.6,103.7
60.69488333,41.53421115,28.6,103.7
60.69488333,41.53419839,29.8,103.7
60.69488333,41.53418562,31,106
60.69487285,41.53417285,31,106
60.69486667,41.53416007,31,98.9
60.69486397,41.53414731,33.4,106
60.69485121,41.53413454,34.6,107.2
60.69485,41.53412177,36.9,109.6
60.69485,41.534109,39.3,112
60.69484624,41.53409624,39.3,110.8
60.69483347,41.53408347,39.3,110.8
60.69483333,41.5340707,36.9,108.4
60.69483333,41.53405792,36.9,108.4
60.69482848,41.53404514,36.9,108.4
60.69481667,41.53403237,34.6,108.4
60.69481667,41.53401962,33.4,107.2
60.69481667,41.53400685,33.4,107.2
60.69481075,41.53399408,32.2,106
60.6948,41.53398131,31,104.8
60.6948,41.53396854,29.8,103.7
60.6947891,41.53396667,29.8,103.7
60.69478333,41.53395966,28.6,104.8
60.69478333,41.53394691,25,104.8
60.69478333,41.53393414,27.4,102.5
60.69478333,41.53392137,27.4,103.7
60.69477526,41.53390859,27.4,104.8
60.69476667,41.53389582,31,107.2
60.69476667,41.53388305,32.2,106
60.69476667,41.53387028,34.6,109.6
60.69475752,41.53385752,33.4,107.2
60.69475,41.53384474,35.7,108.4
60.69471667,41.53375139,44.1,119.1
60.69471667,41.53376667,45.3,120.3
60.69471667,41.53374344,40.5,113.2
60.69471667,41.53373333,42.9,113.2
60.69470788,41.53372455,40.5,112
60.6947,41.53371177,40.5,112
60.6947,41.53369899,39.3,112
60.6947,41.53368623,41.7,113.2
60.69469012,41.53367346,44.1,115.6
60.69468333,41.53366068,52.4,121.5
60.69468333,41.5336479,59.6,134.6
60.69468333,41.53363515,73.9,145.4
60.69467239,41.53362239,81,148.9
60.69466667,41.53360962,79.8,147.7
60.69466352,41.53359685,75.1,143
60.69465074,41.53358408,67.9,128.7
60.69465,41.53357132,59.6,123.9
60.69465,41.53355854,53.6,121.5
60.69464577,41.53354577,53.6,121.5
60.69463333,41.533533,50,119.1
60.69463333,41.53352023,46.5,116.8
60.69462414,41.53350747,46.5,118
60.69461667,41.5334947,44.1,114.4
60.69461667,41.53348192,42.9,113.2
60.69461667,41.53346915,42.9,112
60.69461667,41.53345638,42.9,114.4
60.69461029,41.53344362,40.5,112
60.6946,41.53343085,42.9,114.4
60.6946,41.53341808,40.5,112
60.69458864,41.5334053,40.5,113.2
60.69458333,41.53339253,41.7,113.2
60.69458333,41.53337977,42.9,114.4
60.69458333,41.533367,42.9,114.4
60.69457089,41.53335423,42.9,113.2
60.69456667,41.53334146,44.1,115.6
60.69456667,41.53333333,45.3,115.6
60.69456667,41.53333259,46.5,118
60.69456667,41.53331979,44.1,115.6
60.69455705,41.53330705,44.1,114.4
60.69455,41.53329427,45.3,115.6
60.69455,41.53328151,46.5,116.8
60.69455,41.53326874,50,118
60.6945393,41.53325597,53.6,120.3
60.69453333,41.5332432,64.3,129.9
60.69453043,41.53323043,76.3,148.9
60.69451767,41.53321767,94.1,163.2
60.69451667,41.53320489,110.8,170.4
60.69451667,41.53319212,109.6,170.4
60.69451667,41.53317935,94.1,154.9
60.69451658,41.53316658,77.4,138.2
60.69450382,41.53315382,63.1,129.9
60.6945,41.53314105,58.4,122.7
60.6945,41.53312827,52.4,119.1
60.69449883,41.5331155,50,119.1
60.69448607,41.53310274,51.2,118
60.69448333,41.53308997,48.9,118
60.69448333,41.5330772,50,118
60.69448333,41.53306442,51.2,120.3
60.69448333,41.53305165,50,118
60.69447223,41.53303889,50,119.1
60.69446667,41.53302612,48.9,116.8
60.69446667,41.53301335,48.9,118
60.69446667,41.53300058,47.7,116.8
60.69445448,41.53298781,47.7,118
60.69445,41.53297506,48.9,118
60.69445,41.53296228,47.7,118
60.69445,41.5329495,47.7,118
60.69445,41.53293673,46.5,119.1
60.69444062,41.53292396,47.7,118
60.69443333,41.5329112,46.5,118
60.69443333,41.53289842,50,120.3
60.69443333,41.53288565,47.7,119.1
60.69443333,41.53287288,47.7,118
60.69442679,41.53286012,47.7,118
60.69441667,41.53284735,47.7,118
60.69441667,41.53283458,48.9,120.3
60.69441667,41.53282181,50,120.3
60.69440906,41.53280906,50,121.5
60.6944,41.53279631,50,120.3
60.6944,41.5327835,51.2,120.3
60.6944,41.53277073,51.2,120.3
60.69439129,41.53275796,52.4,121.5
60.69438333,41.5327452,52.4,120.3
60.69438333,41.53273242,53.6,121.5
60.69438333,41.53271965,50,116.8
60.69438333,41.53270688,52.4,120.3
60.69437744,41.53269411,54.8,123.9
60.69436667,41.53268135,54.8,123.9
60.69436667,41.53266859,56,123.9
60.69436667,41.53265581,56,126.3
60.6943597,41.53264304,57.2,126.3
60.69435,41.53263027,56,125.1
60.69435,41.5326175,54.8,122.7
60.69433806,41.53260473,53.6,121.5
60.69433333,41.53259196,51.2,120.3
60.69433333,41.5325792,52.4,122.7
60.69433309,41.53256642,52.4,122.7
60.69432032,41.53255365,52.4,123.9
60.69431667,41.53254089,53.6,123.9
60.69431667,41.53252812,53.6,123.9
60.69431535,41.53251535,54.8,123.9
60.69430257,41.53250257,52.4,122.7
60.6943,41.53248982,51.2,122.7
60.6943,41.53247704,53.6,123.9
60.6942976,41.53246427,57.2,128.7
60.69428483,41.5324515,62,134.6
60.69428333,41.53243874,66.7,141.8
60.69428333,41.53242597,67.9,141.8
60.69427986,41.53241319,69.1,141.8
60.69426709,41.53240042,64.3,139.4
60.69426667,41.53238765,62,135.8
60.69426667,41.53237489,57.2,128.7
60.69426212,41.53236212,54.8,125.1
60.69425,41.53234933,51.2,125.1
60.69425,41.53233657,47.7,122.7
60.69424047,41.5323238,46.5,120.3
60.69423333,41.53231104,46.5,120.3
60.69423333,41.53229827,45.3,119.1
60.69423333,41.5322855,46.5,120.3
60.69422273,41.53227273,44.1,119.1
60.69421667,41.53226667,44.1,119.1
60.69421667,41.53226386,44.1,119.1
60.69421667,41.53225109,45.3,120.3
60.69420498,41.53223832,46.5,119.1
60.6942,41.53222554,48.9,121.5
60.69419612,41.53221279,48.9,123.9
60.69418342,41.53220009,50,123.9
60.69418333,41.53218726,51.2,126.3
60.69418333,41.53217447,57.2,129.9
60.69417836,41.5321617,57.2,131.1
60.69416667,41.53214894,59.6,131.1
60.69416667,41.53213616,62,132.3
60.69415673,41.53212339,59.6,129.9
60.69415,41.53211062,57.2,131.1
60.69414785,41.53209785,54.8,127.5
60.69413509,41.53208509,53.6,125.1
60.69413333,41.53207232,52.4,125.1
60.69412622,41.53205955,51.2,125.1
60.69411667,41.53205,52.4,125.1
60.69411667,41.53203791,52.4,126.3
