"lambda","xi","phi"
3.00969525277175,0.890394351132456,8.96114105333197
3.44833368656017,0.446113740936156,16.9289320830406
2.96006616335489,0.991082995742247,11.9196217895731
3.00969525277175,0.890394351132456,8.96114105333197
3.25197714625912,0.447189078530875,13.5664870739283
5.26686023474373,0.774035374311979,5.45378234978016
3.00969525277175,0.890394351132456,8.96114105333197
6.42313013332872,0.179325220958078,15.1133582732308
5.26686023474373,0.774035374311979,5.45378234978016
3.00969525277175,0.890394351132456,8.96114105333197
4.79704459235651,0.242704405461702,29.1681006352263
3.43893062179858,0.691450347386919,8.66109413110281
3.03931160996731,0.98086656205985,13.3975423691027
5.04756916645991,0.280246052953839,16.225274721138
3.43893062179858,0.691450347386919,8.66109413110281
3.03931160996731,0.98086656205985,13.3975423691027
5.04756916645991,0.280246052953839,16.225274721138
1.78313628564538,0.880760691202865,29.3640788654575
3.03931160996731,0.98086656205985,13.3975423691027
3.29434299121313,0.855670075765159,31.8523955372841
3.10676415956658,0.964219138832932,11.8147561171655
3.03931160996731,0.98086656205985,13.3975423691027
3.70934183145649,0.683116180232285,19.8083924048573
3.10676415956658,0.964219138832932,11.8147561171655
3.03931160996731,0.98086656205985,13.3975423691027
3.71752969373995,0.850253734342132,26.9919326877529
2.8360543330918,0.791508312088404,13.3323187550342
2.56745724436388,0.902728048367152,22.3200819447303
4.73427934705752,0.767227871855415,13.7012867918992
2.8360543330918,0.791508312088404,13.3323187550342
2.56043341883002,0.944635838853689,14.0920426317105
4.73427934705752,0.767227871855415,13.7012867918992
2.8360543330918,0.791508312088404,13.3323187550342
2.5175229683739,0.883448076094612,14.2389364308878
4.73427934705752,0.767227871855415,13.7012867918992
2.44794138250394,0.991543532663795,21.8536545638248
2.73909919751353,0.958050345303256,13.7088665281933
4.13457558107417,0.82847437197769,16.1296022284443
2.52506332051446,0.974420289465222,20.4061410433871
2.73909919751353,0.958050345303256,13.7088665281933
4.13457558107417,0.82847437197769,16.1296022284443
2.52506332051446,0.974420289465222,20.4061410433871
2.73909919751353,0.958050345303256,13.7088665281933
3.0043802667332,0.964894597297578,16.3034064265749
0.543945630749439,0.948484268486341,128.972401930008
2.73909919751353,0.958050345303256,13.7088665281933
3.0043802667332,0.964894597297578,16.3034064265749
5.92233531231779,0.918911210134639,17.097386659283
2.73909919751353,0.958050345303256,13.7088665281933
4.28327931825641,0.820905437947476,9.05576246687164
5.92233531231779,0.918911210134639,17.097386659283
2.73909919751353,0.958050345303256,13.7088665281933
4.28327931825641,0.820905437947476,9.05576246687164
5.77632999727717,0.868377845886258,15.3479782701485
1.65814042511269,0.926080026250861,45.6543475268388
4.28327931825641,0.820905437947476,9.05576246687164
5.94325690199439,0.741007531088916,7.71154858287895
1.35787939455942,0.949862254150813,47.6353269830045
4.28327931825641,0.820905437947476,9.05576246687164
5.94325690199439,0.741007531088916,7.71154858287895
2.51297919340253,0.820007744481462,42.547247969237
1.28592502977357,0.860139954834383,32.0826290369422
5.66314744195395,0.573996753882191,10.6763966300308
5.23251194525876,0.748706378960533,22.4091228566624
3.76254875586316,0.814528493096163,18.0390431015748
6.38412626710701,0.675956330625192,10.1844717714679
1.66737257225856,0.912657372775809,76.4395603236589
4.64200083630421,0.835012980280337,12.7295377748935
5.71032843384262,0.736079763395005,16.3030177559764
3.02814343413121,0.977825839064267,25.8407355666924
6.04589952193803,0.754899171175029,7.38550345360018
5.24891253713602,0.788856121160302,8.7479133389904
3.02814343413121,0.977825839064267,25.8407355666924
5.56580642389421,0.683942827810114,9.33284026269792
