"ID","original_I","SOM_A_hori","s1","s2","plan.curvature","profile.curvature","slope","temperature","precipitation","twi","dem","sample","stratum","SOM_RF","SOM_KED"
126,401,13.443189,683054,3451560,0.0115299997851253,0.000300999992759898,2.15916800498962,15.3545961380005,1342.90698242188,11.0629997253418,51,"STSI",1,20.1996448146281,17.6931378621106
127,402,26.73559,707060,3422760,0.0279760006815195,-0.000132000001030974,1.52791404724121,15.3780059814453,1394.64990234375,11.7270002365112,50,"STSI",1,18.8219620022533,18.7493985515164
128,403,34.372011,726100,3412280,0.00657099997624755,0.000515999970957637,7.89552879333496,14.4684677124023,1453.24340820312,6.55700016021729,137,"STSI",1,25.5001048633267,22.9899631362395
130,405,21.799568,728014,3399210,-0.000260000000707805,-0.000436000002082437,24.3552551269531,13.3775758743286,1525.05102539062,6.23299980163574,413,"STSI",1,45.5544920973367,41.5924871292493
131,406,18.08356,713777,3390850,0.0113080004230142,0.000257000006968156,3.57299590110779,13.8058910369873,1562.06762695312,11.289999961853,314,"STSI",1,25.3167954745868,36.9329619941822
132,407,18.213152,723829,3427420,-0.0147050004452467,4.70000013592653e-05,0.975252985954285,15.4778385162354,1350.04052734375,8.89200019836426,38,"STSI",2,14.31255747216,18.0724321570285
133,408,17.023815,707564,3442310,0.00416699983179569,0.000138000003062189,1.79138994216919,15.5747804641724,1328.78015136719,10.8500003814697,18,"STSI",3,16.1182520114472,16.779779790227
134,409,19.839016,743323,3422450,-6.39999998384155e-05,0.000109000000520609,0.548273026943207,15.4161176681519,1344.13903808594,15.6820001602173,46,"STSI",3,18.010281120806,18.3529841933269
135,410,19.508025,649434,3426390,-0.00666699977591634,0.000303000007988885,2.38235807418823,15.661036491394,1414.36059570312,7.72100019454956,41,"STSI",3,15.1044309891266,18.5204463668584
136,411,17.826003,659989,3419640,-0.00800899975001812,-0.000426999991759658,1.52542805671692,15.4791669845581,1437.93920898438,8.01099967956543,78,"STSI",3,17.2187816502233,20.9963010386731
137,412,13.486952,661253,3419150,-0.00765699986368418,-1.10000000859145e-05,0.921926021575928,15.4617099761963,1439.80493164062,8.25100040435791,62,"STSI",3,16.1593875846766,20.0936094217212
138,413,6.086637,679873,3411520,-0.00118599995039403,0.000113000001874752,5.31124019622803,15.4572296142578,1452.51831054688,7.37799978256226,66,"STSI",3,20.10924598953,20.4547466095009
139,415,27.292909,655593,3408110,-0.000407999992603436,-0.000112000001536217,1.49128198623657,15.4650087356567,1472.00183105469,8.38199996948242,80,"STSI",3,18.2321515257765,17.2352420674508
140,416,8.152663,672996,3403570,-0.00313599989749491,-0.000411999993957579,2.73167204856873,15.2818603515625,1486.86193847656,7.42600011825562,107,"STSI",3,22.5377472795933,22.1259808695333
141,417,33.121302,742840,3446610,0.00849399995058775,-6.80000011925586e-05,7.16873598098755,14.5479688644409,1340.208984375,10.9289999008179,153,"STSI",4,25.4699921167833,23.4080525598885
142,418,63.892645,750394.8081,3446043.648,0.00747800013050437,0.000115000002551824,11.2561092376709,14.3846187591553,1373.62133789062,6.83699989318848,239,"STSI",4,29.0073309664704,29.3910655072634
143,419,19.764608,663320,3430320,-4.50000006821938e-05,0.000103999998827931,1.92964899539948,15.1416578292847,1437.60949707031,9.96500015258789,61,"STSI",4,21.0559182885132,19.8833842227468
144,420,34.296726,691830,3420370,-0.0011060000397265,0.00103899999521673,12.0260066986084,14.7985382080078,1466.68530273438,7.12900018692017,145,"STSI",4,31.8284206629499,24.2548546607687
145,421,15.072611,737470,3419320,-0.00358500005677342,-0.00015999999595806,2.28107500076294,15.4817533493042,1350.5625,9.0649995803833,38,"STSI",4,14.38642705405,14.9854749825701
146,422,22.589574,695291,3414100,0.0530660003423691,0.00152199994772673,3.11939597129822,14.6144332885742,1498.64501953125,11.6009998321533,167,"STSI",4,28.5157525141134,27.1873615277809
147,423,12.067474,700806,3408680,-0.00539899989962578,0.00100699998438358,11.0820188522339,14.3982191085815,1507.42944335938,6.76200008392334,147,"STSI",4,34.2161049166732,26.4179337733569
148,424,25.771193,709237,3407770,-5.09999990754295e-05,0.000937999982852489,15.1025762557983,14.3445682525635,1486.32543945312,8.77400016784668,111,"STSI",4,31.36369118399,24.1108391077615
149,425,58.026712,664043,3403210,0.0169510003179312,0.000436000002082437,3.91297006607056,15.2011127471924,1504.83813476562,11.75,100,"STSI",4,26.0124742160001,23.7602298087703
150,426,35.209985,662859,3398580,-0.00318600004538894,0.000329000002238899,12.7194833755493,14.3579864501953,1567.16284179688,6.82600021362305,211,"STSI",4,29.2375283174501,31.0089670688155
151,427,19.221124,680727.2783,3451588.339,-0.000688000000081956,0.0010550000006333,16.3670387268066,15.0447158813477,1359.81201171875,7.36499977111816,98,"STSI",5,30.5684222277399,19.81340462807
152,428,30.721714,689892,3402940,-0.00230200006626546,0.000292999990051612,3.45809006690979,15.1085529327393,1502.75219726562,8.12600040435791,90,"STSI",5,23.5650192130169,22.5252771386173
153,429,19.569993,661965,3461030,0,0,0,15.7340269088745,1304.15185546875,15.1510000228882,7,"STSI",6,18.405089340195,14.1821447135041
154,430,21.256603,703754,3459350,0.0136850001290441,0.00015700000221841,0.811931014060974,15.5602369308472,1287.24487304688,13.0989999771118,21,"STSI",6,15.5277837127881,16.0608602512964
155,431,21.699015,708083,3457880,-0.00441200006753206,5.80000014451798e-05,0.751965999603271,15.5889148712158,1280.63696289062,9.78600025177002,15,"STSI",6,13.5804517415367,15.7765499884231
